Running on: cuda:2

Optimizer       | Best Iters   | Best Loss    | Best Params
--------------------------------------------------------------------------------
Starting Grid Search for Muon (160 configs)...
lr: 0.0001, mom: 0.9, Iters: 4072, Loss: 0.000998
lr: 0.0001, mom: 0.95, Iters: 5000, Loss: 0.001096
lr: 0.0002, mom: 0.1, Iters: 2109, Loss: 0.000999
  [New Best] lr: 0.0002, mom: 0.1, Iters: 2109, Loss: 0.000999
lr: 0.0002, mom: 0.2, Iters: 2104, Loss: 0.001000
  [New Best] lr: 0.0002, mom: 0.2, Iters: 2104, Loss: 0.001000
lr: 0.0002, mom: 0.3, Iters: 2107, Loss: 0.000999
lr: 0.0002, mom: 0.4, Iters: 2124, Loss: 0.000995
lr: 0.0002, mom: 0.5, Iters: 2138, Loss: 0.000995
lr: 0.0002, mom: 0.6, Iters: 2195, Loss: 0.000999
lr: 0.0002, mom: 0.7, Iters: 5000, Loss: 0.001055
lr: 0.0002, mom: 0.8, Iters: 5000, Loss: 0.001371
lr: 0.0002, mom: 0.9, Iters: 5000, Loss: 0.002344
lr: 0.0002, mom: 0.95, Iters: 5000, Loss: 0.004410
lr: 0.00030000000000000003, mom: 0.1, Iters: 5000, Loss: 0.001474
lr: 0.00030000000000000003, mom: 0.2, Iters: 5000, Loss: 0.001524
lr: 0.00030000000000000003, mom: 0.3, Iters: 5000, Loss: 0.001587
lr: 0.00030000000000000003, mom: 0.4, Iters: 5000, Loss: 0.001672
lr: 0.00030000000000000003, mom: 0.5, Iters: 5000, Loss: 0.001811
lr: 0.00030000000000000003, mom: 0.6, Iters: 5000, Loss: 0.002010
lr: 0.00030000000000000003, mom: 0.7, Iters: 5000, Loss: 0.002379
lr: 0.00030000000000000003, mom: 0.8, Iters: 5000, Loss: 0.003073
lr: 0.00030000000000000003, mom: 0.9, Iters: 5000, Loss: 0.005221
lr: 0.00030000000000000003, mom: 0.95, Iters: 5000, Loss: 0.009955
lr: 0.0004, mom: 0.1, Iters: 5000, Loss: 0.002649
lr: 0.0004, mom: 0.2, Iters: 5000, Loss: 0.002691
lr: 0.0004, mom: 0.3, Iters: 5000, Loss: 0.002823
lr: 0.0004, mom: 0.4, Iters: 5000, Loss: 0.002989
lr: 0.0004, mom: 0.5, Iters: 5000, Loss: 0.003204
lr: 0.0004, mom: 0.6, Iters: 5000, Loss: 0.003578
lr: 0.0004, mom: 0.7, Iters: 5000, Loss: 0.004203
lr: 0.0004, mom: 0.8, Iters: 5000, Loss: 0.005480
lr: 0.0004, mom: 0.9, Iters: 5000, Loss: 0.009322
lr: 0.0004, mom: 0.95, Iters: 5000, Loss: 0.017587
lr: 0.0005, mom: 0.1, Iters: 5000, Loss: 0.004159
lr: 0.0005, mom: 0.2, Iters: 5000, Loss: 0.004213
lr: 0.0005, mom: 0.3, Iters: 5000, Loss: 0.004423
lr: 0.0005, mom: 0.4, Iters: 5000, Loss: 0.004655
lr: 0.0005, mom: 0.5, Iters: 5000, Loss: 0.005034
lr: 0.0005, mom: 0.6, Iters: 5000, Loss: 0.005586
lr: 0.0005, mom: 0.7, Iters: 5000, Loss: 0.006592
lr: 0.0005, mom: 0.8, Iters: 5000, Loss: 0.008517
lr: 0.0005, mom: 0.9, Iters: 5000, Loss: 0.014548
lr: 0.0005, mom: 0.95, Iters: 5000, Loss: 0.027474
lr: 0.0006000000000000001, mom: 0.1, Iters: 5000, Loss: 0.005964
lr: 0.0006000000000000001, mom: 0.2, Iters: 5000, Loss: 0.006144
lr: 0.0006000000000000001, mom: 0.3, Iters: 5000, Loss: 0.006349
lr: 0.0006000000000000001, mom: 0.4, Iters: 5000, Loss: 0.006692
lr: 0.0006000000000000001, mom: 0.5, Iters: 5000, Loss: 0.007251
lr: 0.0006000000000000001, mom: 0.6, Iters: 5000, Loss: 0.008037
lr: 0.0006000000000000001, mom: 0.7, Iters: 5000, Loss: 0.009427
lr: 0.0006000000000000001, mom: 0.8, Iters: 5000, Loss: 0.012343
lr: 0.0006000000000000001, mom: 0.9, Iters: 5000, Loss: 0.020989
lr: 0.0006000000000000001, mom: 0.95, Iters: 5000, Loss: 0.039514
